,flight_number,mission_name,mission_id,launch_year,launch_date_utc,rocket_id,rocket_name,rocket_type,payload_id,norad_id,customers,nationality,manufacturer,payload_type,payload_mass_lbs,orbit,fairings_reused,fairings_recovered,launch_site_id,launch_site_name,launch_success
0,1,FalconSat,[],2006,2006-03-24T22:30:00.000Z,falcon1,Falcon 1,Merlin A,FalconSAT-2,[],['DARPA'],United States,SSTL,Satellite,43.0,LEO,False,False,kwajalein_atoll,Kwajalein Atoll,False
1,2,DemoSat,[],2007,2007-03-21T01:10:00.000Z,falcon1,Falcon 1,Merlin A,DemoSAT,[],['DARPA'],United States,SpaceX,Satellite,,LEO,False,False,kwajalein_atoll,Kwajalein Atoll,False
2,3,Trailblazer,[],2008,2008-08-03T03:34:00.000Z,falcon1,Falcon 1,Merlin C,Trailblazer,[],['NASA'],United States,Space Dev,Satellite,,LEO,False,False,kwajalein_atoll,Kwajalein Atoll,False
3,3,Trailblazer,[],2008,2008-08-03T03:34:00.000Z,falcon1,Falcon 1,Merlin C,PRESat,[],['ORS'],United States,,Satellite,,LEO,False,False,kwajalein_atoll,Kwajalein Atoll,False
4,4,RatSat,[],2008,2008-09-28T23:15:00.000Z,falcon1,Falcon 1,Merlin C,RatSat,[33393],['SpaceX'],United States,SpaceX,Satellite,363.0,LEO,False,False,kwajalein_atoll,Kwajalein Atoll,True
5,5,RazakSat,[],2009,2009-07-13T03:35:00.000Z,falcon1,Falcon 1,Merlin C,RazakSAT,[35578],['ATSB'],Malaysia,Satrec,Satellite,440.0,LEO,False,False,kwajalein_atoll,Kwajalein Atoll,True
6,6,Falcon 9 Test Flight,['EE86F74'],2010,2010-06-04T18:45:00.000Z,falcon9,Falcon 9,v1.0,Dragon Qualification Unit,[36595],['SpaceX'],United States,SpaceX,Dragon Boilerplate,,LEO,,,ccafs_slc_40,CCAFS SLC 40,True
7,7,COTS 1,['EE86F74'],2010,2010-12-08T15:43:00.000Z,falcon9,Falcon 9,v1.0,COTS Demo Flight 1,[37244],['NASA(COTS)'],United States,SpaceX,Dragon 1.0,,LEO,,,ccafs_slc_40,CCAFS SLC 40,True
8,7,COTS 1,['EE86F74'],2010,2010-12-08T15:43:00.000Z,falcon9,Falcon 9,v1.0,Cubesats,[],['NRO'],,,Satellite,,LEO,,,ccafs_slc_40,CCAFS SLC 40,True
9,8,COTS 2,['EE86F74'],2012,2012-05-22T07:44:00.000Z,falcon9,Falcon 9,v1.0,COTS Demo Flight 2,[38348],['NASA(COTS)'],United States,SpaceX,Dragon 1.0,1157.0,LEO,,,ccafs_slc_40,CCAFS SLC 40,True
10,9,CRS-1,['EE86F74'],2012,2012-10-08T00:35:00.000Z,falcon9,Falcon 9,v1.0,CRS-1,[38846],['NASA (CRS)'],United States,SpaceX,Dragon 1.0,881.0,ISS,,,ccafs_slc_40,CCAFS SLC 40,True
